var_num	P-A	GOOD?
179	0.0107806764298	GOOD
180	0.0121307899901	GOOD
181	0.00200367275005	GOOD
182	0.00274415512845	GOOD
183	0.205668832516	GOOD
184	0.511501174963	BAD
185	0.0230706715748	GOOD
186	0.0329405577251	GOOD
187	0.000701539299906	GOOD
188	1.97839402477e-05	GOOD

178	11
